fdc_id,food_name,data_type,food_category,calories,carbs_g,calcium_mg,fat_g,protein_g,saturated_fat_g,fiber_g,iron_mg,sodium_mg,sugar_g,cholesterol_mg,health_score,food_type,food_display_name,preparation_method,food_label,food_group_clean
168575,"Grape leaves, raw",SR Legacy,Vegetables and Vegetable Products,93.0,17.3,363.0,2.12,5.6,0.336,11.0,2.63,9.0,6.3,0.0,65,Vegetables,Grape leaves,raw,Grape leaves (raw),Vegetables
170377,"Broadbeans, immature seeds, raw",SR Legacy,Vegetables and Vegetable Products,72.0,11.7,22.0,0.6,5.6,0.138,4.2,1.9,50.0,1.6,0.0,65,Vegetables,"Broadbeans, immature seeds",raw,"Broadbeans, immature seeds (raw)",Vegetables
170419,"Peas, green, raw",SR Legacy,Vegetables and Vegetable Products,81.0,14.4,25.0,0.4,5.42,0.071,5.7,1.47,5.0,5.67,0.0,65,Vegetables,"Peas, green",raw,"Peas, green (raw)",Vegetables
170102,"Peas, green, cooked, boiled, drained, with salt",SR Legacy,Vegetables and Vegetable Products,84.0,15.6,27.0,0.22,5.36,0.039,5.5,1.54,239.0,5.93,0.0,65,Vegetables,"Peas, green","cooked, boiled, drained, with salt","Peas, green (cooked, boiled, drained, with salt)",Vegetables
170420,"Peas, green, cooked, boiled, drained, without salt",SR Legacy,Vegetables and Vegetable Products,352.0,15.6,27.0,0.22,5.36,0.039,5.5,1.54,3.0,5.93,0.0,65,Vegetables,"Peas, green","cooked, boiled, drained, without salt","Peas, green (cooked, boiled, drained, without salt)",Vegetables
170016,"Peas, green, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",SR Legacy,Vegetables and Vegetable Products,322.0,13.6,22.0,0.4,5.22,0.066,4.5,1.53,108.0,5.0,0.0,65,Vegetables,"Peas, green","frozen, unprepared (Includes foods for USDA's Food Distribution Program)","Peas, green (frozen, unprepared (Includes foods for USDA's Food Distribution Program))",Vegetables
169384,"Tomatoes, sun-dried, packed in oil, drained",SR Legacy,Vegetables and Vegetable Products,213.0,23.3,47.0,14.1,5.06,1.89,5.8,2.68,266.0,1.6,0.0,65,Vegetables,"Tomatoes, packed in oil","sun-dried, drained","Tomatoes, packed in oil (sun-dried, drained)",Vegetables
169300,"Succotash, (corn and limas), raw",SR Legacy,Vegetables and Vegetable Products,99.0,19.6,18.0,1.02,5.03,0.19,3.8,1.83,4.0,1.6,0.0,65,Vegetables,"Succotash, (corn and limas)",raw,"Succotash, (corn and limas) (raw)",Vegetables
168487,"Taro leaves, raw",SR Legacy,Vegetables and Vegetable Products,42.0,6.7,107.0,0.74,4.98,0.151,3.7,2.25,3.0,3.01,0.0,65,Vegetables,Taro leaves,raw,Taro leaves (raw),Vegetables
170378,"Broadbeans, immature seeds, cooked, boiled, drained, without salt",SR Legacy,Vegetables and Vegetable Products,62.0,10.1,18.0,0.5,4.8,0.142,3.6,1.5,41.0,1.6,0.0,65,Vegetables,"Broadbeans, immature seeds","cooked, boiled, drained, without salt","Broadbeans, immature seeds (cooked, boiled, drained, without salt)",Vegetables
